Model,RMSE,MAE,MAPE,R²,Direction_Acc,Training_Time_Sec,Prediction_Time_Sec
OLS,0.1029730850373569,0.08467960600123914,240.5628218474848,0.990130198005203,97.65886287625418,,0.000857
RF,0.11016046745222309,0.0895938255480349,284.58154832075866,0.9887043160660723,97.32441471571906,,0.018547
