,rmse,mae,r2,direction_accuracy
Basic LSTM,0.5793068184114482,0.5479030840273528,-8.480498842829569,0.0
Bidirectional LSTM,0.5793068184114482,0.5479030840273528,-8.480498842829569,0.0
Attention LSTM,0.5793068184114482,0.5479030840273528,-8.480498842829569,0.0
LSTM Ensemble,0.5793068184114482,0.5479030840273528,-8.480498842829569,0.0
