,To_Regime_0,To_Regime_1,To_Regime_2
From_Regime_0,0.9815950920245399,0.018404907975460124,0.0
From_Regime_1,0.011834319526627219,0.9763313609467456,0.011834319526627219
From_Regime_2,0.0,0.005988023952095809,0.9940119760479041
